,player_id,given_name,family_name,count_tournaments,team_count,list_tournaments,team_name,team_code,full_name
1945,P-02279,József,Andrusch,1,1,1986,Hungary,HUN,József Andrusch
1946,P-02280,Adalbert,Püllöck,1,1,1934,Romania,ROU,Adalbert Püllöck
1947,P-02281,Halim,Benmabrouk,1,1,1986,Algeria,DZA,Halim Benmabrouk
1948,P-02282,Erik,Thorstvedt,1,1,1994,Norway,NOR,Erik Thorstvedt
1949,P-02284,Tayfur,Havutçu,1,1,2002,Turkey,TUR,Tayfur Havutçu
1950,P-02286,Refik,Šabanadžović,1,1,1990,Yugoslavia,YUG,Refik Šabanadžović
1951,P-02287,Herbert,Erhardt,3,1,"1954, 1958, 1962",West Germany,DEU,Herbert Erhardt
1952,P-02288,Adolfo,Machado,1,1,2018,Panama,PAN,Adolfo Machado
1953,P-02289,Coloman,Braun-Bogdan,1,1,1938,Romania,ROU,Coloman Braun-Bogdan
1954,P-02290,Ali,Latifi,1,1,1998,Iran,IRN,Ali Latifi
1955,P-02291,Pável,Pardo,2,1,"1998, 2006",Mexico,MEX,Pável Pardo
1956,P-02292,Mircea,Rednic,1,1,1990,Romania,ROU,Mircea Rednic
1957,P-02293,Ditmar,Jakobs,1,1,1986,West Germany,DEU,Ditmar Jakobs
1958,P-02296,not applicable,Martim,1,1,1938,Brazil,BRA,Martim
1959,P-02297,Armando,Cooper,1,1,2018,Panama,PAN,Armando Cooper
1960,P-02298,Dušan,Tadić,2,1,"2018, 2022",Serbia,SRB,Dušan Tadić
1961,P-02299,Ali,Zitouni,1,1,2002,Tunisia,TUN,Ali Zitouni
1962,P-02300,Edward,Madejski,1,1,1938,Poland,POL,Edward Madejski
1963,P-02301,Bum-young,Lee,1,1,2014,South Korea,KOR,Bum-young Lee
1964,P-02302,Dino,Baggio,2,1,"1994, 1998",Italy,ITA,Dino Baggio
1965,P-02304,Aurelio,González,1,1,1930,Paraguay,PRY,Aurelio González
1966,P-02305,Gabriel,Achilier,1,1,2014,Ecuador,ECU,Gabriel Achilier
1967,P-02306,Naïm,Sliti,2,1,"2018, 2022",Tunisia,TUN,Naïm Sliti
1968,P-02308,Manuel,Bento,1,1,1986,Portugal,PRT,Manuel Bento
1969,P-02309,Aleksandar,Markov,1,1,1986,Bulgaria,BGR,Aleksandar Markov
1970,P-02310,José,Carlos,1,1,1966,Portugal,PRT,José Carlos
1971,P-02311,Lars,Høgh,1,1,1986,Denmark,DNK,Lars Høgh
1972,P-02313,Sándor,Schwartz,1,1,1934,Romania,ROU,Sándor Schwartz
1973,P-02314,Slaviša,Jokanović,1,1,1998,Yugoslavia,YUG,Slaviša Jokanović
1974,P-02315,Chong-gug,Song,2,1,"2002, 2006",South Korea,KOR,Chong-gug Song
1975,P-02316,Reneilwe,Letsholonyane,1,1,2010,South Africa,ZAF,Reneilwe Letsholonyane
1976,P-02317,Héctor,Marchena,1,1,1990,Costa Rica,CRI,Héctor Marchena
1977,P-02318,Rajko,Tavčar,1,1,2002,Slovenia,SVN,Rajko Tavčar
1978,P-02319,Arouna,Koné,1,1,2006,Ivory Coast,CIV,Arouna Koné
1979,P-02320,Aleksei,Kozlov,1,1,2014,Russia,RUS,Aleksei Kozlov
1980,P-02321,Omar,Al-Ghamdi,2,1,"2002, 2006",Saudi Arabia,SAU,Omar Al-Ghamdi
1981,P-02323,Dele,Adeleye,1,1,2010,Nigeria,NGA,Dele Adeleye
1982,P-02324,Mehrzad,Madanchi,1,1,2006,Iran,IRN,Mehrzad Madanchi
1983,P-02325,Rolf,Wüthrich,1,1,1962,Switzerland,CHE,Rolf Wüthrich
1984,P-02326,Ramón,Calderé,1,1,1986,Spain,ESP,Ramón Calderé
1985,P-02327,Iván,Zamorano,1,1,1998,Chile,CHL,Iván Zamorano
1986,P-02328,José,Izquierdo,1,1,2018,Colombia,COL,José Izquierdo
1987,P-02332,Edmond,Loichot,1,1,1934,Switzerland,CHE,Edmond Loichot
1988,P-02333,António,Silva,1,1,2022,Portugal,PRT,António Silva
1989,P-02334,Paul,Merson,1,1,1998,England,ENG,Paul Merson
1990,P-02335,Marcos,Rivas,1,1,1970,Mexico,MEX,Marcos Rivas
1991,P-02336,Tranquillo,Barnetta,3,1,"2006, 2010, 2014",Switzerland,CHE,Tranquillo Barnetta
1992,P-02337,Chris,Hughton,1,1,1990,Republic of Ireland,IRL,Chris Hughton
1993,P-02338,Bertin,Ebwellé,1,1,1990,Cameroon,CMR,Bertin Ebwellé
1994,P-02339,Florea,Dumitrache,1,1,1970,Romania,ROU,Florea Dumitrache
1995,P-02340,Constantino,Noya,1,1,1930,Bolivia,BOL,Constantino Noya
1996,P-02341,Mouncif,El Haddaoui,1,1,1986,Morocco,MAR,Mouncif El Haddaoui
1997,P-02342,José,Quintanilla,1,1,1970,El Salvador,SLV,José Quintanilla
1998,P-02343,Jordan,Pickford,2,1,"2018, 2022",England,ENG,Jordan Pickford
1999,P-02344,Willi,Giesemann,1,1,1962,West Germany,DEU,Willi Giesemann
2000,P-02345,Cristian,Ansaldi,1,1,2018,Argentina,ARG,Cristian Ansaldi
2001,P-02349,not applicable,Fernando,1,1,1990,Spain,ESP,Fernando
2002,P-02350,Daniel,Carnevali,1,1,1974,Argentina,ARG,Daniel Carnevali
2003,P-02351,Álvaro,Zamora,1,1,2022,Costa Rica,CRI,Álvaro Zamora
2004,P-02352,Lucas,Barrios,1,1,2010,Paraguay,PRY,Lucas Barrios
2005,P-02353,Javier,Cárdenas,1,1,1978,Mexico,MEX,Javier Cárdenas
2006,P-02355,Krzysztof,Piątek,1,1,2022,Poland,POL,Krzysztof Piątek
2007,P-02357,Gernot,Jurtin,1,1,1982,Austria,AUT,Gernot Jurtin
2008,P-02358,Ricardo,Osorio,2,1,"2006, 2010",Mexico,MEX,Ricardo Osorio
2009,P-02359,Roberto Néstor,Sensini,3,1,"1990, 1994, 1998",Argentina,ARG,Roberto Néstor Sensini
2010,P-02360,John,Charles,1,1,1958,Wales,WAL,John Charles
2011,P-02361,Heurelho,Gomes,1,1,2010,Brazil,BRA,Heurelho Gomes
2012,P-02362,Rachid,Rokki,1,1,1998,Morocco,MAR,Rachid Rokki
2013,P-02364,Kum-chol,Choe,1,1,2010,North Korea,PRK,Kum-chol Choe
2014,P-02366,Giampiero,Marini,1,1,1982,Italy,ITA,Giampiero Marini
